function,taylor
x - 4,x - 4
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
sin(x) + 5,-x**3/6 + x + 5
3 - x,3 - x
sin(x) - 3*cos(x),-x**4/8 - x**3/6 + 3*x**2/2 + x - 3
0,0
x - 3,x - 3
2*exp(x) - sin(x) + 5,x**4/12 + x**3/2 + x**2 + x + 7
cos(x) + 2,x**4/24 - x**2/2 + 3
5,5
exp(x) + cos(x)**2 + 4,3*x**4/8 + x**3/6 - x**2/2 + x + 6
-x + cos(x),x**4/24 - x**2/2 - x + 1
exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + 1
cos(x)**2,x**4/3 - x**2 + 1
x + 5,x + 5
sin(x),-x**3/6 + x
8*x*cos(x),4*x*(2 - x**2)
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x,x
4,4
sin(x) + 10,-x**3/6 + x + 10
x*sin(x)**2,x**3
x + cos(x),x**4/24 - x**2/2 + x + 1
-2,-2
5*x - cos(x),-x**4/24 + x**2/2 + 5*x - 1
2*exp(x) + 1,x**4/12 + x**3/3 + x**2 + 2*x + 3
2*sin(x) + 1,-x**3/3 + 2*x + 1
-2*x + exp(x),x**4/24 + x**3/6 + x**2/2 - x + 1
16,16
3*cos(x),x**4/8 - 3*x**2/2 + 3
-5*sin(x),5*x*(x**2 - 6)/6
x + exp(x)*cos(x),-x**4/6 - x**3/3 + 2*x + 1
x*sin(x),-x**4/6 + x**2
8*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 9*x + 1
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
cos(x) - 5,x**4/24 - x**2/2 - 4
4 - sin(x),x**3/6 - x + 4
0,0
1 - cos(x),x**2*(12 - x**2)/24
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
cos(x) - 2,x**4/24 - x**2/2 - 1
x*(x + 2),x*(x + 2)
0,0
x,x
4,4
2*x + 2*cos(x),x**4/12 - x**2 + 2*x + 2
3 - 3*x,3 - 3*x
17,17
-3,-3
cos(x)**2,x**4/3 - x**2 + 1
x + 2,x + 2
x + sin(x) - sin(2*x)/2,x**3/2 + x
x*(x - 3),x*(x - 3)
-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
4*x*sin(x),2*x**2*(6 - x**2)/3
exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + x + 5
x*cos(x),-x**3/2 + x
2*x*cos(x)**2,2*x*(1 - x**2)
x*exp(x) + x + 1,x**4/6 + x**3/2 + x**2 + 2*x + 1
x*exp(2*x)*cos(x),x*(2*x**3 + 9*x**2 + 12*x + 6)/6
x,x
cos(x) + 1,x**4/24 - x**2/2 + 2
x + 4,x + 4
x + 2,x + 2
1 - x,1 - x
x - sin(x),x**3/6
5,5
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
2 - cos(x),-x**4/24 + x**2/2 + 1
x*exp(x) - x + cos(x),5*x**4/24 + x**3/2 + x**2/2 + 1
-x - 1,-x - 1
x**2*exp(x),x**2*(x**2/2 + x + 1)
-x - exp(x) + 3,-x**4/24 - x**3/6 - x**2/2 - 2*x + 2
x + 4*sin(x) + 5,-2*x**3/3 + 5*x + 5
(x + 1)*exp(x),5*x**4/24 + 2*x**3/3 + 3*x**2/2 + 2*x + 1
3*cos(x),x**4/8 - 3*x**2/2 + 3
cos(x) - 4,x**4/24 - x**2/2 - 3
2 - sin(x),x**3/6 - x + 2
x - 10,x - 10
2*x + sin(x) - 4,-x**3/6 + 3*x - 4
x - 5,x - 5
sin(x),-x**3/6 + x
x*(x - cos(x)),x*(x**2/2 + x - 1)
-exp(x)*cos(x) + 5,x**4/6 + x**3/3 - x + 4
2*x,2*x
2*x + 4,2*x + 4
4*x,4*x
exp(x) - 4,x**4/24 + x**3/6 + x**2/2 + x - 3
4,4
0,0
2,2
-exp(x) + sin(x) + 3,-x**4/24 - x**3/3 - x**2/2 + 2
2*x + exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + 3*x + 6
2*exp(x)*sin(x) - 1,2*x**3/3 + 2*x**2 + 2*x - 1
x*exp(x)*cos(x),x*(-x**3/3 + x + 1)
-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
5,5
x + sin(x) + 4,-x**3/6 + 2*x + 4
x + exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + 2*x + 5
sin(2*x)/2,-2*x**3/3 + x
2*sin(x) + 5*cos(x),5*x**4/24 - x**3/3 - 5*x**2/2 + 2*x + 5
-x + 5*exp(x) + 5,5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 4*x + 10
8 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 7
-3*x + cos(x),x**4/24 - x**2/2 - 3*x + 1
4*x*sin(x),2*x**2*(6 - x**2)/3
x + 2,x + 2
x + 2,x + 2
2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
x*(1 - exp(x)),x**2*(-x**2 - 3*x - 6)/6
x*exp(x) + cos(x),5*x**4/24 + x**3/2 + x**2/2 + x + 1
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
sin(x) - cos(x)**2,-x**4/3 - x**3/6 + x**2 + x - 1
x*cos(x) + x - 2,-x**3/2 + 2*x - 2
x*exp(x) + sin(x),x*(x**3 + 2*x**2 + 6*x + 12)/6
4,4
-x**2 + cos(x),x**4/24 - 3*x**2/2 + 1
x - 1,x - 1
sin(x) + 5,-x**3/6 + x + 5
x,x
-2*exp(x)*cos(x) + 4,x**4/3 + 2*x**3/3 - 2*x + 2
3 - x,3 - x
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
3*x*cos(x),3*x*(2 - x**2)/2
x + 3,x + 3
x*cos(x) + sin(x),2*x*(3 - x**2)/3
2*x + cos(x) + 5,x**4/24 - x**2/2 + 2*x + 6
3*x*cos(x),3*x*(2 - x**2)/2
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
x**2*sin(x),x**3
3*x*sin(2*x)/2,x**2*(3 - 2*x**2)
x*(-exp(x) + cos(x)),-x**2*(x**2/6 + x + 1)
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
2*x + sin(x) - 2,-x**3/6 + 3*x - 2
-x + sin(x)**2,x*(-x**3/3 + x - 1)
x*exp(x)*cos(x)**2,x*(-5*x**3/6 - x**2/2 + x + 1)
0,0
(x + cos(x))*exp(x),x**3/6 + x**2 + 2*x + 1
x - cos(x) + 2,-x**4/24 + x**2/2 + x + 1
x + 4,x + 4
4*x,4*x
-exp(x) - sin(x),-x**4/24 - x**2/2 - 2*x - 1
x*(x + sin(x)),x**2*(12 - x**2)/6
x + sin(x),x*(12 - x**2)/6
3 - 2*x,3 - 2*x
6*x - 1,6*x - 1
-x + exp(x) + cos(x) - 5,x**4/12 + x**3/6 - 3
x*(1 - exp(x)),x**2*(-x**2 - 3*x - 6)/6
-2*x + exp(x) + cos(x),x**4/12 + x**3/6 - x + 2
-x**2 - x + 4,-x**2 - x + 4
x*sin(x) + 3*exp(x),-x**4/24 + x**3/2 + 5*x**2/2 + 3*x + 3
exp(x) + cos(x) + 2,x**4/12 + x**3/6 + x + 4
4,4
(1 - x)*cos(x),x**4/24 + x**3/2 - x**2/2 - x + 1
3*x**2,3*x**2
2*x**2 + 4,2*x**2 + 4
x**2 - cos(x) + 3,-x**4/24 + 3*x**2/2 + 2
12*x - 2,12*x - 2
-4*sin(x),2*x*(x**2 - 6)/3
-sin(x),x**3/6 - x
sin(x) - cos(x) - 1,-x**4/24 - x**3/6 + x**2/2 + x - 2
cos(x) - 4,x**4/24 - x**2/2 - 3
3 - sin(x),x**3/6 - x + 3
2*x,2*x
x**2*cos(x),-x**4/2 + x**2
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
x - 4,x - 4
exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + x + 3
sin(x) - 3,-x**3/6 + x - 3
sin(2*x)/2,-2*x**3/3 + x
20*cos(x) - 3,5*x**4/6 - 10*x**2 + 17
x + 12,x + 12
exp(x) + sin(x) - 10,x**4/24 + x**2/2 + 2*x - 9
3*x - 4,3*x - 4
2*x,2*x
2*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 3*x + 1
cos(x) + 2,x**4/24 - x**2/2 + 3
x - exp(x) + sin(x),-x**4/24 - x**3/3 - x**2/2 + x - 1
12 - x,12 - x
x**2*sin(x) + 1,x**3 + 1
15*x,15*x
2 - 3*x,2 - 3*x
x**4,x**4
9*x,9*x
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
3,3
30,30
x*sin(x),-x**4/6 + x**2
4*x,4*x
-x,-x
3*x,3*x
x - cos(x)**2,-x**4/3 + x**2 + x - 1
x*(1 - cos(x)),x**3/2
x**2,x**2
x*exp(x)*cos(x),x*(-x**3/3 + x + 1)
x*cos(x) + 1,-x**3/2 + x + 1
15,15
x*sin(x) + x - 1,-x**4/6 + x**2 + x - 1
exp(x)*sin(x),x*(x**2/3 + x + 1)
x + cos(x),x**4/24 - x**2/2 + x + 1
5,5
2*sin(x),x*(6 - x**2)/3
4*x - 3,4*x - 3
5*x,5*x
1,1
4*sin(x),2*x*(6 - x**2)/3
x + 5,x + 5
2*sin(x)**2 - cos(x),-17*x**4/24 + 5*x**2/2 - 1
x + 2,x + 2
x*sin(x) - sin(x) + 4,-x**4/6 + x**3/6 + x**2 - x + 4
-x + sin(x),-x**3/6
x + exp(x) + cos(x),x**4/12 + x**3/6 + 2*x + 2
x + 4,x + 4
2*cos(x),x**4/12 - x**2 + 2
-1,-1
x*sin(x),-x**4/6 + x**2
2*x,2*x
sin(x),-x**3/6 + x
0,0
x*(x*cos(x) + 1),x*(-x**3/2 + x + 1)
exp(x) + cos(x),x**4/12 + x**3/6 + x + 2
x + sin(x) - 3,-x**3/6 + 2*x - 3
-x*exp(x) + sin(x) - 4,-x**4/6 - 2*x**3/3 - x**2 - 4
5 - 5*x,5 - 5*x
exp(x) - cos(x) + 1,x**3/6 + x**2 + x + 1
1,1
x - sin(x),x**3/6
-exp(x) - 4,-x**4/24 - x**3/6 - x**2/2 - x - 5
0,0
x**2 + cos(x),x**4/24 + x**2/2 + 1
-x + cos(x) - 3,x**4/24 - x**2/2 - x - 2
x**2*exp(x),x**2*(x**2/2 + x + 1)
cos(x) + 4,x**4/24 - x**2/2 + 5
cos(x) - 3,x**4/24 - x**2/2 - 2
8,8
x + 2,x + 2
x**2 + exp(x) - 4,x**4/24 + x**3/6 + 3*x**2/2 + x - 3
2*x,2*x
-x + sin(x),-x**3/6
x + 9,x + 9
exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
-2*x,-2*x
x**3 + exp(x),x**4/24 + 7*x**3/6 + x**2/2 + x + 1
x + cos(x),x**4/24 - x**2/2 + x + 1
-x - exp(x) + 4,-x**4/24 - x**3/6 - x**2/2 - 2*x + 3
-x + cos(x),x**4/24 - x**2/2 - x + 1
-x*exp(x),-x*(x**3/6 + x**2/2 + x + 1)
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
x + sin(x),x*(12 - x**2)/6
x + cos(x),x**4/24 - x**2/2 + x + 1
x*cos(x),-x**3/2 + x
2,2
2 - x,2 - x
sin(x) - 1,-x**3/6 + x - 1
x + 4,x + 4
-x + sin(2*x)/2 + 4,4 - 2*x**3/3
x**2,x**2
x*sin(x),-x**4/6 + x**2
exp(x) - 8,x**4/24 + x**3/6 + x**2/2 + x - 7
3*x,3*x
x - sqrt(2)*sin(x + pi/4) + 3,-x**4/24 + x**3/6 + x**2/2 + 2
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
-x + 2*cos(x),x**4/12 - x**2 - x + 2
x*sin(x),-x**4/6 + x**2
2*cos(x) + 5,x**4/12 - x**2 + 7
exp(x)*sin(x),x*(x**2/3 + x + 1)
x + cos(x),x**4/24 - x**2/2 + x + 1
exp(x) - 1,x*(x**3 + 4*x**2 + 12*x + 24)/24
x + cos(x) + 5,x**4/24 - x**2/2 + x + 6
1 - 2*x,1 - 2*x
x - 5,x - 5
x**2 + cos(x) - 2,x**4/24 + x**2/2 - 1
x*(4*x + 1),x*(4*x + 1)
cos(x) + 1,x**4/24 - x**2/2 + 2
7,7
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
x - exp(x) - sin(x) + 5,-x**4/24 - x**2/2 - x + 4
x + 2,x + 2
x - exp(x) - 5,-x**4/24 - x**3/6 - x**2/2 - 6
-x,-x
3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
2*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 3*x + 1
x + cos(x) + 2,x**4/24 - x**2/2 + x + 3
x*sin(x),-x**4/6 + x**2
3*x - cos(x) + 3,-x**4/24 + x**2/2 + 3*x + 2
2*cos(x),x**4/12 - x**2 + 2
x*exp(x) - x + exp(x),5*x**4/24 + 2*x**3/3 + 3*x**2/2 + x + 1
-x - 2,-x - 2
2*exp(2*x) - 4,4*x**4/3 + 8*x**3/3 + 4*x**2 + 4*x - 2
x + sin(x),x*(12 - x**2)/6
x - 10,x - 10
cos(x) + 2,x**4/24 - x**2/2 + 3
x*cos(x) + cos(x) - 3,x**4/24 - x**3/2 - x**2/2 + x - 2
exp(x) + sqrt(2)*cos(x + pi/4) - 5,x**4/12 + x**3/3 - 3
-sin(x) + cos(x),x**4/24 + x**3/6 - x**2/2 - x + 1
x**2*sin(x) - 2,x**3 - 2
sin(x) + 4*cos(x),x**4/6 - x**3/6 - 2*x**2 + x + 4
cos(x) + 2,x**4/24 - x**2/2 + 3
-3,-3
2 - 2*x,2 - 2*x
8,8
x**2,x**2
2,2
x*sin(x),-x**4/6 + x**2
2*x - cos(x),-x**4/24 + x**2/2 + 2*x - 1
25*x + sin(x),x*(156 - x**2)/6
x*cos(x) + 2,-x**3/2 + x + 2
2*cos(x),x**4/12 - x**2 + 2
x + exp(x) + sin(x),x**4/24 + x**2/2 + 3*x + 1
x*cos(x),-x**3/2 + x
x + 4,x + 4
-5*x - sin(x) + 3,x**3/6 - 6*x + 3
7 - x,7 - x
-sin(x) + cos(x),x**4/24 + x**3/6 - x**2/2 - x + 1
2*exp(x)*cos(x)**2,-x**4/4 - 5*x**3/3 - x**2 + 2*x + 2
exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + x + 5
-x + cos(x) + 2,x**4/24 - x**2/2 - x + 3
3,3
1 - exp(x),x*(-x**3 - 4*x**2 - 12*x - 24)/24
1 - 2*x,1 - 2*x
x**2*exp(x),x**2*(x**2/2 + x + 1)
x*(x + sin(x)),x**2*(12 - x**2)/6
x + 4,x + 4
exp(x)*cos(x)**2,-x**4/8 - 5*x**3/6 - x**2/2 + x + 1
x + exp(x)*sin(x),x*(x**2 + 3*x + 6)/3
-sin(2*x)/2,2*x**3/3 - x
x*exp(x) + 12,x**4/6 + x**3/2 + x**2 + x + 12
x + exp(x) + sin(x) + 1,x**4/24 + x**2/2 + 3*x + 2
2*x,2*x
-2*x + exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 1
x + 2*sin(x),x*(9 - x**2)/3
8*sin(2*x),-32*x**3/3 + 16*x
2,2
4*x - 5,4*x - 5
7,7
25*x + 5,25*x + 5
5*x,5*x
2*x,2*x
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
x*cos(x) + exp(x),x**4/24 - x**3/3 + x**2/2 + 2*x + 1
-12,-12
x - cos(x),-x**4/24 + x**2/2 + x - 1
cos(x) + 1,x**4/24 - x**2/2 + 2
-x - exp(x)*cos(x) + cos(x),x*(5*x**3 + 8*x**2 - 12*x - 48)/24
x**2 - x - 5,x**2 - x - 5
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
x - sin(x) + 3,x**3/6 + 3
x*sin(x)**2,x**3
x**2 + x - 4,x**2 + x - 4
1,1
x + 3,x + 3
x*sin(x) + 2*cos(x),2 - x**4/12
exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + x + 2
exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + x + 3
5 - 6*x,5 - 6*x
7 - 5*cos(x),-5*x**4/24 + 5*x**2/2 + 2
3 - x,3 - x
2*x + 4,2*x + 4
x*exp(x) + x - 5,x**4/6 + x**3/2 + x**2 + 2*x - 5
x*(1 - 3*exp(x)),x*(-x**3 - 3*x**2 - 6*x - 4)/2
-sin(x),x**3/6 - x
x + 3,x + 3
3*x,3*x
2*x*cos(x),x*(2 - x**2)
x - sqrt(2)*cos(x + pi/4) + 3,-x**4/24 - x**3/6 + x**2/2 + 2*x + 2
4*x - 4,4*x - 4
x + exp(x)*cos(x),-x**4/6 - x**3/3 + 2*x + 1
2*x + 2,2*x + 2
x + exp(x) + cos(x) + 4,x**4/12 + x**3/6 + 2*x + 6
3*x - 2,3*x - 2
x,x
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
-sin(x),x**3/6 - x
2 - 5*sin(x),5*x**3/6 - 5*x + 2
exp(x)*sin(x),x*(x**2/3 + x + 1)
x - 3,x - 3
-x - sin(x) + 5,x**3/6 - 2*x + 5
3,3
x*cos(x),-x**3/2 + x
x**2,x**2
1,1
2*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 3*x + 1
x - exp(x) + cos(x) - 2,-x**3/6 - x**2 - 2
x + 8,x + 8
5*x + exp(x) + sin(x),x**4/24 + x**2/2 + 7*x + 1
x - exp(x) + sin(x),-x**4/24 - x**3/3 - x**2/2 + x - 1
cos(x) + 3,x**4/24 - x**2/2 + 4
3 - x,3 - x
3*sin(x) + 1,-x**3/2 + 3*x + 1
x + 3*sin(x),x*(8 - x**2)/2
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
15,15
0,0
x + 1,x + 1
x,x
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
2,2
3 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 2
x - 1,x - 1
x + 6,x + 6
-2*x + exp(x),x**4/24 + x**3/6 + x**2/2 - x + 1
0,0
5*x + 4*sin(x),x*(27 - 2*x**2)/3
2*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 3*x + 1
4 - cos(x),-x**4/24 + x**2/2 + 3
cos(x) + 4,x**4/24 - x**2/2 + 5
-sin(x) + cos(x),x**4/24 + x**3/6 - x**2/2 - x + 1
x**2 + 5,x**2 + 5
5*x,5*x
2*x*exp(x),x*(x**3 + 3*x**2 + 6*x + 6)/3
4 - cos(x),-x**4/24 + x**2/2 + 3
1 - cos(x),x**2*(12 - x**2)/24
x - 2,x - 2
x**2,x**2
x*cos(x)**2 + 5,-x**3 + x + 5
5 - x,5 - x
x - cos(x) + 3,-x**4/24 + x**2/2 + x + 2
exp(x) - 4,x**4/24 + x**3/6 + x**2/2 + x - 3
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x*(exp(x) - 5),x*(x**3 + 3*x**2 + 6*x - 24)/6
x*exp(2*x),x*(4*x**3 + 6*x**2 + 6*x + 3)/3
-x + sin(x),-x**3/6
x + 5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 6*x + 5
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
-x + sin(x) - 2,-x**3/6 - 2
x + exp(x) + 3*sin(x),x**4/24 - x**3/3 + x**2/2 + 5*x + 1
4*x + cos(x) + 1,x**4/24 - x**2/2 + 4*x + 2
2*x,2*x
2*x,2*x
2 - cos(x),-x**4/24 + x**2/2 + 1
8*x,8*x
x - 3,x - 3
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
3 - 3*exp(x),x*(-x**3 - 4*x**2 - 12*x - 24)/8
15,15
exp(x) - 2,x**4/24 + x**3/6 + x**2/2 + x - 1
20*x,20*x
exp(x) - cos(x),x*(x**2/6 + x + 1)
x - sin(x),x**3/6
x + sin(x),x*(12 - x**2)/6
2*x,2*x
(1 - exp(x))*exp(x),x*(-15*x**3 - 28*x**2 - 36*x - 24)/24
-x**2 + exp(x) + sin(x),x**4/24 - x**2/2 + 2*x + 1
3,3
3 - x,3 - x
1,1
x,x
-cos(x) - 2,-x**4/24 + x**2/2 - 3
-2*x + cos(x),x**4/24 - x**2/2 - 2*x + 1
exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + x + 6
x**2,x**2
x + 2,x + 2
x,x
x*(sin(x) + 5),x*(-x**3 + 6*x + 30)/6
x*(5*x + 1),x*(5*x + 1)
4,4
4*x + 2*exp(x),x**4/12 + x**3/3 + x**2 + 6*x + 2
x**2 + 3,x**2 + 3
sin(x) - 1,-x**3/6 + x - 1
12,12
5*exp(x) - 3,5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 5*x + 2
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
-x - exp(x)*sin(x) + 5,-x**3/3 - x**2 - 2*x + 5
15*sin(x) + 2,-5*x**3/2 + 15*x + 2
x + sin(x),x*(12 - x**2)/6
3*x*exp(x) - cos(x),11*x**4/24 + 3*x**3/2 + 7*x**2/2 + 3*x - 1
x,x
sin(x) + 1,-x**3/6 + x + 1
sin(x) - 5,-x**3/6 + x - 5
x + 2*sin(x),x*(9 - x**2)/3
10,10
x + cos(x),x**4/24 - x**2/2 + x + 1
-4*x + sin(x) + 4,-x**3/6 - 3*x + 4
3*x - 5,3*x - 5
x + 4,x + 4
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
sin(2*x)/2 + 3,-2*x**3/3 + x + 3
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
x**2 + exp(x) - sin(x),x**4/24 + x**3/3 + 3*x**2/2 + 1
4*exp(x) + sin(x) + 4,x**4/6 + x**3/2 + 2*x**2 + 5*x + 8
exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + x + 3
x**2,x**2
x*cos(x),-x**3/2 + x
x + sin(x),x*(12 - x**2)/6
x + cos(x),x**4/24 - x**2/2 + x + 1
x*(sin(x) + 1),x*(-x**3/6 + x + 1)
3*x*cos(x),3*x*(2 - x**2)/2
x + 4,x + 4
5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 5*x + 5
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
2*x + sin(x) + 5,-x**3/6 + 3*x + 5
-x + cos(x) - 1,x*(x**3 - 12*x - 24)/24
exp(2*x) + cos(x),17*x**4/24 + 4*x**3/3 + 3*x**2/2 + 2*x + 2
x*sin(x),-x**4/6 + x**2
x,x
8,8
x + sin(x),x*(12 - x**2)/6
x**3,x**3
2*x*exp(x) + sin(x),x*(2*x**3 + 5*x**2 + 12*x + 18)/6
x - exp(x) - 1,-x**4/24 - x**3/6 - x**2/2 - 2
x*(1 - cos(x)),x**3/2
-4*x,-4*x
8*sin(x),4*x*(6 - x**2)/3
x + 5,x + 5
exp(x) + sin(x) + 1,x**4/24 + x**2/2 + 2*x + 2
sin(x) - cos(x) + 7,-x**4/24 - x**3/6 + x**2/2 + x + 6
4*sin(x),2*x*(6 - x**2)/3
exp(x) - sin(x) + 2,x**4/24 + x**3/3 + x**2/2 + 3
4*x + sin(x),x*(30 - x**2)/6
2*x + 3,2*x + 3
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
20 - sin(x),x**3/6 - x + 20
x - 1,x - 1
x*sin(x),-x**4/6 + x**2
-x*exp(x) + 1,-x**4/6 - x**3/2 - x**2 - x + 1
x + 3*exp(x) + sin(x),x**4/8 + x**3/3 + 3*x**2/2 + 5*x + 3
x + cos(x),x**4/24 - x**2/2 + x + 1
4*x,4*x
sin(x),-x**3/6 + x
-2*x,-2*x
x + exp(x)*cos(x),-x**4/6 - x**3/3 + 2*x + 1
5*exp(x)*sin(x),5*x*(x**2 + 3*x + 3)/3
x - 3,x - 3
-4*x + sin(x) + 1,-x**3/6 - 3*x + 1
2*x,2*x
sin(2*x)/2 + 1,-2*x**3/3 + x + 1
x**2,x**2
-2*x,-2*x
cos(x) + 7,x**4/24 - x**2/2 + 8
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
4 - cos(x),-x**4/24 + x**2/2 + 3
sin(x) - cos(x) + 6,-x**4/24 - x**3/6 + x**2/2 + x + 5
x - 6*sin(x),x*(x**2 - 5)
x*(exp(x) - cos(x)),x**2*(x**2/6 + x + 1)
x*sin(x),-x**4/6 + x**2
4*exp(2*x),8*x**4/3 + 16*x**3/3 + 8*x**2 + 8*x + 4
2,2
5,5
x*cos(x),-x**3/2 + x
2*x,2*x
x - 5,x - 5
exp(x) + cos(x) - 1,x**4/12 + x**3/6 + x + 1
6*exp(x) + 3,x**4/4 + x**3 + 3*x**2 + 6*x + 9
cos(x),x**4/24 - x**2/2 + 1
1 - x**2,1 - x**2
x*sin(x),-x**4/6 + x**2
x + exp(x)*cos(x) + exp(x),-x**4/8 - x**3/6 + x**2/2 + 3*x + 2
5*x,5*x
2*x,2*x
0,0
x - sin(x),x**3/6
5 - x,5 - x
2*sin(x),x*(6 - x**2)/3
x*exp(x) - sin(2*x)/2,x**2*(x**2 + 7*x + 6)/6
x - cos(x)**2,-x**4/3 + x**2 + x - 1
5*x + 3,5*x + 3
-sin(x) + cos(x),x**4/24 + x**3/6 - x**2/2 - x + 1
-x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + 3
4 - cos(x),-x**4/24 + x**2/2 + 3
4*x**2,4*x**2
x**2,x**2
x + cos(x) + 7,x**4/24 - x**2/2 + x + 8
-2,-2
-x + cos(x),x**4/24 - x**2/2 - x + 1
-7,-7
2*cos(x),x**4/12 - x**2 + 2
-x - exp(x) + sqrt(2)*sin(x + pi/4),-x*(x**2/3 + x + 1)
x,x
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
2*x + 1,2*x + 1
5 - x,5 - x
x*sin(x),-x**4/6 + x**2
x*(exp(x) + 1),x*(x**3 + 3*x**2 + 6*x + 12)/6
3 - 5*x,3 - 5*x
3*sin(x),x*(6 - x**2)/2
-x + exp(x) - cos(x) + 1,x**3/6 + x**2 + 1
x*sin(x),-x**4/6 + x**2
2*x + cos(x) + 4,x**4/24 - x**2/2 + 2*x + 5
x + sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + 2*x - 1
-x - 3,-x - 3
x**2 + cos(x) + 4,x**4/24 + x**2/2 + 5
3 - 2*x,3 - 2*x
x*(x + 5),x*(x + 5)
x + 3*cos(x),x**4/8 - 3*x**2/2 + x + 3
-4,-4
x - cos(x),-x**4/24 + x**2/2 + x - 1
sin(2*x)/2,-2*x**3/3 + x
5*cos(x),5*x**4/24 - 5*x**2/2 + 5
sin(x) - cos(x) - 8,-x**4/24 - x**3/6 + x**2/2 + x - 9
x*sin(x),-x**4/6 + x**2
sin(x) + 3,-x**3/6 + x + 3
x + sin(x),x*(12 - x**2)/6
(x + 1)*cos(x),x**4/24 - x**3/2 - x**2/2 + x + 1
4*sin(x) + cos(x) + 3,x**4/24 - 2*x**3/3 - x**2/2 + 4*x + 4
x - exp(x) + 6,-x**4/24 - x**3/6 - x**2/2 + 5
x + exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + 2*x + 2
x*(2*exp(x) - 1),x*(x**3/3 + x**2 + 2*x + 1)
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
cos(x),x**4/24 - x**2/2 + 1
x + 1,x + 1
-x + sin(x),-x**3/6
5*sin(x),5*x*(6 - x**2)/6
x,x
x + sin(x) - 5,-x**3/6 + 2*x - 5
exp(x)*sin(x)**2 + 1,x**4/6 + x**3 + x**2 + 1
x + exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + x + 1
x,x
